# This file is UTF-8 encoded. Avoid using of BOM!
# WORD	TF	IDF	ATTR
差不遠	13.22	9.81	a
防禦率王	12.24	12.35	n
超慢	12.86	10.08	a
禎	1.01	0.00	u
競爭者	13.37	9.42	n
燏	0.74	0.00	@
圖利案	12.97	10.43	n
大坪頂	11.38	13.67	n
大直	13.19	14.79	n
塞迪	12.73	10.38	n
併購	13.18	9.25	u
加進來	13.07	10.18	v
下氣	13.15	9.33	v
懏	0.73	0.00	@
王曉婷	11.99	12.53	n
說穿	12.15	11.69	u
榎	0.84	0.00	@
團名	13.13	9.38	n
卡鉑	11.78	12.45	n
張凱翔	11.93	12.66	n
撲台	12.53	10.85	v
海灘褲	11.81	12.88	n
豐樂	11.36	13.25	n
歘	0.73	0.00	@
挙	0.83	0.00	@
六鳥	13.03	9.65	n
妎	0.75	0.00	@
企畫	12.75	10.33	u
猙	0.86	0.00	@
籠手	11.89	12.24	n
聲明稿	13.25	9.75	n
漏出來	12.58	11.31	v
鄭寺音	11.93	12.65	n
黃文貞	12.05	12.43	n
查查	11.60	12.81	v
觀光年	13.09	10.12	n
中層	12.85	10.09	n
強權	12.30	11.37	n
一九四四年	11.42	14.03	n
電磁	13.09	9.49	n
鮮度	11.86	12.30	n
立體感	12.55	11.38	n
下方	13.21	14.67	n
蟘	0.69	0.00	@
發騷	12.11	11.78	n
統治權	12.48	11.54	n
寒蟬	12.06	11.89	n
快車道	11.99	12.55	n
滑壘	10.01	15.40	v
溫尼伯	11.27	13.86	n
鎖右鍵	11.92	12.68	n
韘	0.77	0.00	@
維吉尼亞州	12.22	12.59	n
迴游	13.11	9.45	v
搭訕	12.42	11.11	v
改建為	12.53	11.44	v
建議	14.31	5.93	n
稼	0.96	0.00	@
胎壓	12.29	11.38	n
高老先生	13.33	15.87	n
練成	12.95	9.84	v
小皇孫	11.57	13.33	n
珻	0.72	0.00	@
大計	13.17	9.28	n
樼	0.80	0.00	@
莫尼	11.23	13.47	n
音階	11.91	12.19	n
簽約人	13.17	9.93	n
得住	13.22	9.16	u
揻	0.71	0.00	@
囊舌	11.53	12.93	n
滅頂	12.13	11.74	v
莊國榮	11.72	13.06	n
賢達	11.57	12.85	n
掌握好	13.33	9.52	u
卡到	13.24	9.10	u
叻	1.04	0.00	@
石階	11.41	13.16	n
